iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559,120559
122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215,122215
126763,126763,126763,126763,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995,124995
