iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
109018,109018,109018,109018,106615,106615,106615,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373,106373
108085,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590,106590
106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795,106795
