iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
111786,111786,111786,111786,111786,111786,111786,111786,111786,111786,111786,111786,111786,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843,108843
111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,111018,110570,110570,110570,110570
110919,110919,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923,109923
